P_training(%),Training Set,Test set,Epoch,Total_Loss_Training,BCE_Training,KLD_Training,LL_Training,Total_Loss_Test,BCE_Test,KLD_Test,LL_Test,Train_accuracy,Test_Accuracy_Original,Accuracy_Original_Top_Generated_Bottom,Accuracy_Generated_Top_Original_Bottom,Accuracy_Processed_Top_Processed_Bottom,AU1,AU2
100,45000,10000,50,90.4451,46.0755,44.3696,-84.9252,174.3263,103.4311,70.8953,-166.856,0.96540004,0.969899952,0.931099951,0.916099966,0.877299964,18,18
100,45000,10000,50,90.7473,46.418,44.3294,-85.0569,171.9668,101.1874,70.7794,-164.2316,0.966400027,0.967899978,0.933699966,0.914299965,0.880099952,20,19
100,45000,10000,50,90.933,47.0497,43.8833,-85.2167,173.8372,103.7995,70.0376,-165.1375,0.96855557,0.970599949,0.937099993,0.910899997,0.877399981,19,18
100,45000,10000,50,90.2391,46.4413,43.7977,-84.5296,171.3463,101.0618,70.2845,-164.5244,0.965755582,0.969599962,0.931599975,0.920099974,0.882099986,19,19
100,45000,10000,50,90.9784,46.7089,44.2695,-85.2078,175.5025,104.9006,70.602,-168.1306,0.968511105,0.972299993,0.935899973,0.918599963,0.882200003,20,19
50,22500,35000,40,90.3935,46.8571,43.5364,-85.6372,172.8839,102.7151,70.1687,-166.4958,0.954266667,0.954142869,0.918257117,0.90259999,0.866714299,18,18
50,22500,35000,40,89.6591,46.2077,43.4514,-85.3904,170.8493,100.9083,69.9411,-163.3996,0.956266701,0.953400016,0.919428587,0.903542876,0.869571447,20,20
50,22500,35000,40,90.257,46.2802,43.9767,-85.7217,173.7448,103.3374,70.4074,-167.6904,0.958933353,0.954200029,0.918914259,0.901171446,0.865885735,20,20
50,22500,35000,40,89.5532,45.7276,43.8255,-85.2796,173.5425,103.1322,70.4103,-166.9184,0.954666674,0.952971458,0.916971445,0.901171446,0.865171433,20,19
50,22500,35000,40,89.6377,46.1808,43.4569,-85.2582,170.6224,100.7343,69.8881,-164.2785,0.953955591,0.952657163,0.91371429,0.901657164,0.862714291,20,20
5,2250,57500,40,90.3424,46.3429,43.9995,-86.2626,174.2294,103.5549,70.6744,-168.4489,0.875999987,0.854800046,0.831217408,0.820243478,0.7966609,18,20
5,2250,57500,40,89.8464,45.3722,44.4741,-86.3453,172.1257,100.9245,71.2012,-165.6745,0.85911113,0.850400031,0.828730464,0.812104404,0.790434837,19,20
5,2250,57500,40,89.9618,45.9809,43.9809,-86.3018,171.9405,101.6414,70.299,-166.759,0.888888896,0.867008746,0.842713058,0.829617441,0.805321753,18,20
5,2250,57500,40,89.5669,46.102,43.4649,-85.5842,171.7047,101.3111,70.3936,-166.0285,0.853333354,0.84826088,0.827530444,0.81111306,0.790382624,19,19
5,2250,57500,40,89.6934,46.3277,43.3657,-85.7885,174.0853,104.1945,69.8908,-168.891,0.878222227,0.86286962,0.839113057,0.826382637,0.802626133,17,19
1,450,59500,40,90.3843,46.3142,44.0701,-86.3957,173.3642,102.6232,70.7411,-167.3576,0.442222238,0.414857179,0.411411792,0.411714315,0.408268929,18,19
1,450,59500,40,90.221,46.5873,43.6337,-86.0033,172.8894,102.6426,70.2467,-166.8899,0.457777798,0.399126083,0.398823559,0.391529441,0.391226918,19,20
1,450,59500,40,89.9057,46.2043,43.7014,-86.1703,170.5148,100.2795,70.2354,-164.7327,0.715555549,0.654235303,0.644890785,0.626470625,0.617126107,18,19
1,450,59500,40,90.4786,46.3705,44.108,-86.5708,171.6713,100.9923,70.6789,-166.0281,0.573333323,0.519579887,0.515479028,0.517831981,0.513731122,19,19
1,450,59500,40,90.0853,46.5119,43.5733,-86.0219,171.0742,100.7279,70.3463,-165.9663,0.722222269,0.655058861,0.659899175,0.632890761,0.637731135,19,19
