P_training(%),Training Set,Test set,Epoch,Total_Loss_Training,BCE_Training,KLD_Training,LL_Training,Total_Loss_Test,BCE_Test,KLD_Test,LL_Test,Train_accuracy,Test_Accuracy_Original,Accuracy_Original_Top_Generated_Bottom,Accuracy_Generated_Top_Original_Bottom,Accuracy_Processed_Top_Processed_Bottom,AU1,AU2
100,45000,10000,40,83.1296,49.03,34.0996,-77.6296,184.0562,167.7388,16.3175,-186.3499,0.965644479,0.97299999,0.765100002,0.756899953,0.548999965,12,14
100,45000,10000,40,83.4182,48.4357,34.9824,-78.5806,176.5066,159.7578,16.7489,-178.6943,0.96642226,0.969999969,0.838999987,0.759299994,0.628300011,13,12
100,45000,10000,40,83.824,50.4403,33.3836,-77.9162,174.1164,158.1806,15.9358,-176.2906,0.966377795,0.971199989,0.779599965,0.775399983,0.583799958,12,13
100,45000,10000,40,83.9056,49.8895,34.016,-78.3906,176.7871,160.5237,16.2635,-178.9683,0.963711143,0.968999982,0.795599997,0.74849999,0.575100005,12,12
100,45000,10000,40,82.7997,48.195,34.6047,-77.8663,177.6896,161.1393,16.5504,-179.9549,0.966644466,0.969999969,0.771499991,0.782899976,0.584399998,13,13
50,22500,35000,40,82.1709,47.3718,34.7991,-78.3684,174.4369,157.776,16.6609,-177.9174,0.952044427,0.95245713,0.757914305,0.741057158,0.546514273,12,13
50,22500,35000,40,82.3269,47.0121,35.3148,-78.768,182.0286,165.1189,16.9097,-185.4962,0.956044436,0.953599989,0.78048569,0.764514267,0.591400027,12,13
50,22500,35000,40,82.2324,48.3161,33.9163,-78.172,176.6835,160.4807,16.2028,-180.1883,0.956177771,0.955228567,0.767400026,0.735685706,0.547857165,12,12
50,22500,35000,40,81.837,47.1695,34.6675,-78.099,176.3296,159.7452,16.5845,-179.8445,0.953822255,0.950742841,0.781914294,0.754971445,0.586142838,12,13
50,22500,35000,40,81.5834,47.4885,34.0948,-77.9184,176.7211,160.4212,16.2999,-180.1692,0.953155577,0.952057123,0.752771437,0.773285687,0.574000001,12,13
5,2250,57500,40,82.5348,48.4336,34.1012,-78.729,174.675,158.3795,16.2954,-178.567,0.867555559,0.853078306,0.695773959,0.676469564,0.519165218,12,13
5,2250,57500,40,82.4212,47.8513,34.5698,-79.183,175.6314,159.1,16.5314,-179.5881,0.860000014,0.852713049,0.735669613,0.704521775,0.58747828,12,12
5,2250,57500,40,82.3907,47.6584,34.7323,-79.2778,179.2344,162.6162,16.6182,-183.2219,0.888000011,0.868313074,0.708939135,0.696591318,0.537217438,12,12
5,2250,57500,40,82.2082,47.6727,34.5354,-78.7983,175.6772,159.1494,16.5277,-179.6747,0.851111114,0.847043514,0.728191316,0.691147864,0.572295666,12,13
5,2250,57500,40,82.1993,47.624,34.5753,-78.9727,176.098,159.5678,16.5303,-180.0708,0.881333351,0.861078262,0.746034801,0.708000004,0.592956543,12,13
1,450,59500,40,82.0628,47.8535,34.2093,-78.672,176.6704,160.3121,16.3583,-180.7246,0.471111119,0.426369757,0.296739519,0.313042045,0.183411777,12,12
1,450,59500,40,82.1935,48.4033,33.7901,-78.9191,181.6621,165.5202,16.1419,-185.6584,0.475555569,0.405310959,0.328067243,0.343344569,0.266100854,11,12
1,450,59500,40,82.4265,48.1953,34.2312,-79.0095,178.4978,162.1339,16.3639,-182.4582,0.686666668,0.64586556,0.573042035,0.513025224,0.4402017,12,13
1,450,59500,40,82.2972,48.667,33.6302,-78.2265,179.9989,163.9313,16.0677,-183.9713,0.566666663,0.49852103,0.422941208,0.450873971,0.375294149,12,13
1,450,59500,40,82.2474,48.1014,34.1459,-79.272,176.3332,160.0081,16.3251,-180.3888,0.717777789,0.639361382,0.551226914,0.505142868,0.41700843,12,11
