P_training(%),Training Set,Test set,Epoch,Total_Loss_Training,BCE_Training,KLD_Training,LL_Training,Total_Loss_Test,BCE_Test,KLD_Test,LL_Test,Train_accuracy,Test_Accuracy_Original,Accuracy_Original_Top_Generated_Bottom,Accuracy_Generated_Top_Original_Bottom,Accuracy_Processed_Top_Processed_Bottom,AU1,AU2
100,54000,10000,40,96.55635071,58.093647,38.46269226,-92.45648193,190.4216156,125.874794,64.54679871,-169.5893555,0.852537036,0.864899993,0.834999979,0.805000007,0.775099993,12,13
100,54000,10000,40,97.35942078,59.28820419,38.07121277,-92.12095642,187.0535278,122.7305832,64.32294464,-166.6974945,0.843833327,0.86469996,0.826099992,0.798599958,0.759999991,14,15
100,54000,10000,40,96.9547348,59.74306107,37.21166611,-92.11458588,192.6990662,128.6771393,64.02191925,-170.6499023,0.862037003,0.864799976,0.833899975,0.799600005,0.768700004,12,13
100,54000,10000,40,97.11455536,59.33675385,37.77780914,-92.13085938,190.9867706,127.2136841,63.77305984,-168.6855927,0.838499963,0.862999976,0.823699951,0.802299976,0.762999952,13,13
100,54000,10000,40,96.93090057,59.75967407,37.17122269,-91.75754547,184.6852264,121.3435974,63.34162521,-162.6591644,0.854592562,0.862299979,0.826900005,0.802999973,0.7676,13,14
50,27000,40000,40,95.31892395,58.0210495,37.29786682,-91.47292328,189.6936493,125.2206192,64.47302246,-170.1966705,0.809222221,0.839749992,0.809149981,0.778849959,0.748250008,14,13
50,27000,40000,40,94.34127045,57.62579727,36.7154808,-90.8478241,180.9431458,117.4306717,63.51247406,-162.2684479,0.828148127,0.854174972,0.82404995,0.789249957,0.759124994,14,13
50,27000,40000,40,94.33830261,56.71993637,37.61836624,-91.48804474,186.6965179,122.945549,63.7509613,-167.8756409,0.836222231,0.851549983,0.824549973,0.788299978,0.761299968,13,13
50,27000,40000,40,94.10973358,56.84334183,37.26639557,-91.10153198,190.3609161,126.8330002,63.52793503,-170.3315887,0.829333305,0.849599958,0.822099984,0.788774967,0.761274993,12,12
50,27000,40000,40,95.76432037,57.61509323,38.14921951,-92.43222046,185.8244171,121.2553482,64.56906128,-166.6487427,0.840555549,0.857374966,0.828774989,0.796724975,0.768124998,14,16
5,2700,67000,40,94.73704529,57.19493484,37.54210663,-91.84915161,186.046051,121.8103561,64.23570251,-168.3510437,0.707037032,0.724149227,0.714552224,0.702701509,0.693104446,13,13
5,2700,67000,40,94.38122559,57.02534103,37.35587692,-91.69944763,184.8012848,120.8673859,63.93389511,-165.9757385,0.691111088,0.722686529,0.707671642,0.687850714,0.672835827,14,13
5,2700,67000,40,94.409729,56.70772171,37.70199585,-91.88931274,184.0642853,120.0831375,63.98116302,-165.3098297,0.728888869,0.727149248,0.719999969,0.685373128,0.678223848,13,14
5,2700,67000,40,95.42755127,57.70956802,37.71798325,-92.12645721,191.4446716,127.1964035,64.24828339,-172.1927643,0.708888888,0.736223877,0.725283563,0.68437314,0.673432827,14,13
5,2700,67000,40,94.70823669,57.99244308,36.71579742,-91.28799438,183.2813873,119.4843597,63.79703522,-165.002243,0.722592592,0.746940255,0.735223889,0.711552203,0.699835837,13,15
1,540,69400,40,94.73409271,57.20188141,37.53221512,-91.91304779,188.4517212,124.1296082,64.32212067,-169.0989838,0.529629648,0.458976954,0.459020168,0.448948115,0.448991358,12,12
1,540,69400,40,95.06208801,57.88314056,37.17893982,-92.35610199,185.245575,121.8578262,63.38775253,-166.5385742,0.461111099,0.410100877,0.406325638,0.398184449,0.39440921,12,12
1,540,69400,40,94.25021362,57.1810379,37.06917191,-91.51538849,182.1749115,118.4976044,63.67730713,-164.0094147,0.588888884,0.55305475,0.556974053,0.533760786,0.53768009,13,14
1,540,69400,40,94.89218903,57.65839767,37.23379135,-91.92220306,186.2919617,122.54039,63.75157928,-167.0011749,0.50555557,0.468040347,0.460230559,0.440302581,0.432492793,13,14
1,540,69400,40,95.03569031,56.08277512,38.95291519,-93.01463318,184.5814056,119.6057816,64.97560883,-165.9576874,0.572222233,0.541455329,0.533645511,0.525230527,0.517420769,13,14
