P_training(%),Training Set,Test set,Epoch,Total_Loss_Training,BCE_Training,KLD_Training,LL_Training,Total_Loss_Test,BCE_Test,KLD_Test,LL_Test,Train_accuracy,Test_Accuracy_Original,Accuracy_Original_Top_Generated_Bottom,Accuracy_Generated_Top_Original_Bottom,Accuracy_Processed_Top_Processed_Bottom,AU1,AU2
100,54000,10000,40,86.6289444,61.83123016,24.79771233,-81.88598633,256.0878601,244.4707947,11.61702824,-257.8076782,0.846481443,0.864899993,0.725399971,0.614300013,0.474799991,10,8
100,54000,10000,40,86.73972321,61.48773575,25.25198364,-81.96611023,259.1123352,247.2246399,11.88771725,-260.8740845,0.839666665,0.86469996,0.730300009,0.729399979,0.594999969,9,9
100,54000,10000,40,85.94112396,61.1302681,24.81085968,-82.31855011,261.7639771,250.1036987,11.66027069,-263.599762,0.857722223,0.864799976,0.692299962,0.652799964,0.480299979,8,8
100,54000,10000,40,86.67754364,61.50709915,25.1704464,-82.3822937,268.6841736,256.8412781,11.84286499,-270.3597412,0.839055538,0.862999976,0.747500002,0.73149997,0.615999997,10,9
100,54000,10000,40,85.70426941,60.24370575,25.46056938,-81.63285065,262.7065735,250.7294922,11.9770813,-264.5451355,0.84983331,0.862299979,0.734699965,0.699699998,0.572099984,10,9
50,27000,40000,40,84.89402771,59.46517181,25.4288578,-82.05373383,261.4715271,249.5083008,11.96324539,-264.5955811,0.816222191,0.839749992,0.747824967,0.568374991,0.476449996,10,10
50,27000,40000,40,84.4309845,59.19929123,25.23169899,-81.75552368,268.5588379,256.7041321,11.85471058,-271.675293,0.827555537,0.854174972,0.719874978,0.708674967,0.574374974,9,9
50,27000,40000,40,85.14965057,59.82409668,25.32553101,-83.02823639,258.9906921,247.0679169,11.92277527,-262.0805054,0.830296278,0.851549983,0.771699965,0.666224957,0.586374998,10,8
50,27000,40000,40,84.88430023,59.8114357,25.07286453,-81.6651001,260.2111816,248.4229889,11.78819942,-263.1871033,0.824000001,0.849599958,0.700024962,0.704324961,0.554749966,10,10
50,27000,40000,40,84.09003448,58.98087311,25.10916901,-81.47184753,257.3502502,245.5421448,11.80810642,-260.5182495,0.839999974,0.857374966,0.719399989,0.685474992,0.547500014,9,9
5,2700,67000,40,85.00914001,59.5934639,25.41567612,-82.47252655,269.6116943,257.6645203,11.94716454,-273.1230774,0.700370371,0.724149227,0.618388057,0.491402984,0.385641784,10,9
5,2700,67000,40,84.53656769,59.27865219,25.25791931,-82.3180542,266.1657104,254.2838135,11.88190174,-269.7557983,0.686666668,0.722686529,0.63976121,0.606029868,0.523104489,10,10
5,2700,67000,40,84.71659088,59.97389603,24.74269295,-82.11495972,254.9719391,243.3527069,11.61921883,-258.5571899,0.727037013,0.727149248,0.645373106,0.489880592,0.408104479,9,9
5,2700,67000,40,84.47402954,58.12085342,26.3531723,-82.68229675,260.0744324,247.6562042,12.41823387,-263.7896118,0.701481462,0.736223877,0.668582082,0.520552218,0.452910453,9,9
5,2700,67000,40,84.20250702,58.753582,25.44892502,-82.13739014,253.4693756,241.4914856,11.97788239,-257.1644592,0.728888869,0.746940255,0.634149253,0.517044783,0.404253721,9,8
1,540,69400,40,84.46920776,59.04533005,25.42389107,-82.18412781,256.4650269,244.5096588,11.95537281,-260.1404724,0.514814794,0.45896253,0.436109513,0.444466859,0.421613842,10,9
1,540,69400,40,84.99819946,60.11297226,24.88522148,-82.51194763,257.6379395,245.9425964,11.69534492,-261.1954956,0.459259242,0.41004324,0.357579261,0.381685883,0.329221904,8,9
1,540,69400,40,84.47763824,58.65876007,25.81886864,-82.13581085,254.0047302,241.8473511,12.1574049,-257.6516113,0.5796296,0.55266571,0.547939479,0.457175791,0.45244956,11,9
1,540,69400,40,84.32900238,60.26377487,24.06522369,-81.34298706,261.202179,249.9257355,11.27646065,-264.7461548,0.50555557,0.468097985,0.40427953,0.396916419,0.333097994,9,10
1,540,69400,40,84.34235382,58.06246567,26.27988625,-82.71759033,267.4081421,255.0201721,12.38794518,-271.1815186,0.562962949,0.541181564,0.507319868,0.451801151,0.417939484,9,10
